WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2014,RGM_TSV_2, Tue Apr 10 20:50:39 CDT 2018, Tue Apr 10 21:11:12 CDT 2018,00:20:33,20,1233,0,0,0,0,0
2011,RGM_TSV_22, Wed Mar 21 01:34:54 CDT 2018, Wed Mar 21 01:44:28 CDT 2018,00:09:34,9,574,0,0,0,0,0
2012,RGM_TSV_22, Wed Mar 28 16:47:43 CDT 2018, Wed Mar 28 17:16:39 CDT 2018,00:28:56,28,1736,0,0,0,0,0
2013,RGM_TSV_22, Wed Apr  4 23:41:01 CDT 2018, Wed Apr  4 23:48:59 CDT 2018,00:07:58,7,478,0,0,0,0,0
2014,RGM_TSV_22, Wed Apr 11 04:20:16 CDT 2018, Wed Apr 11 04:23:44 CDT 2018,00:03:28,3,208,0,0,0,0,0
2015,RGM_TSV_22, Wed Apr 18 00:22:58 CDT 2018, Wed Apr 18 00:38:28 CDT 2018,00:15:30,15,930,0,0,0,0,0
2016,RGM_TSV_22, Wed Apr 25 12:12:03 CDT 2018, Wed Apr 25 12:53:05 CDT 2018,00:41:02,41,2462,0,0,0,0,0
2017,RGM_TSV_22, Wed May  2 00:58:59 CDT 2018, Wed May  2 01:01:27 CDT 2018,00:02:28,2,148,0,0,0,0,0
2018,RGM_TSV_22, Wed May  9 10:45:33 CDT 2018, Wed May  9 10:55:16 CDT 2018,00:09:43,9,583,0,0,0,0,0
2019,RGM_TSV_22, Wed May 16 16:04:53 CDT 2018, Wed May 16 16:23:50 CDT 2018,00:18:57,18,1137,0,0,0,0,0
2020,RGM_TSV_22, Thu May 24 19:45:55 CDT 2018, Thu May 24 20:17:25 CDT 2018,00:31:30,31,1890,0,0,0,0,0
2021,RGM_TSV_22, Thu May 31 02:35:56 CDT 2018, Thu May 31 02:39:55 CDT 2018,00:03:59,3,239,0,0,0,0,0
2022,RGM_TSV_22, Wed Jun  6 23:30:50 CDT 2018, Wed Jun  6 23:37:52 CDT 2018,00:07:02,7,422,0,0,0,0,0
2023,RGM_TSV_22, Tue Jun 12 00:58:54 CDT 2018, Tue Jun 12 01:07:00 CDT 2018,00:08:06,8,486,0,0,0,0,0
2024,RGM_TSV_22, Thu Jun 21 03:20:57 CDT 2018, Thu Jun 21 04:00:37 CDT 2018,00:39:40,39,2380,0,0,0,0,0
2025,RGM_TSV_22, Wed Jun 27 03:21:52 CDT 2018, Wed Jun 27 03:26:53 CDT 2018,00:05:01,5,301,0,0,0,0,0
2026,RGM_TSV_22, Tue Jul  3 11:14:20 CDT 2018, Tue Jul  3 11:22:15 CDT 2018,00:07:55,7,475,0,0,0,0,0
2027,RGM_TSV_22, Mon Jul  9 16:50:32 CDT 2018, Mon Jul  9 17:01:48 CDT 2018,00:11:16,11,676,0,0,0,0,0
2028,RGM_TSV_22, Mon Jul 16 18:02:33 CDT 2018, Mon Jul 16 18:27:05 CDT 2018,00:24:32,24,1472,0,0,0,0,0
2029,RGM_TSV_22, Tue Jul 24 21:26:24 CDT 2018, Tue Jul 24 21:30:21 CDT 2018,00:03:57,3,237,0,0,0,0,0
2030,RGM_TSV_22, Tue Jul 31 07:53:53 CDT 2018, Tue Jul 31 07:57:31 CDT 2018,00:03:38,3,218,0,0,0,0,0
2031,RGM_TSV_22, Wed Aug  8 06:10:03 CDT 2018, Wed Aug  8 06:28:39 CDT 2018,00:18:36,18,1116,0,0,0,0,0
2032,RGM_TSV_22, Mon Aug 13 16:34:45 CDT 2018, Mon Aug 13 17:02:07 CDT 2018,00:27:22,27,1642,0,0,0,0,0
2033,RGM_TSV_22, Tue Aug 21 14:01:33 CDT 2018, Tue Aug 21 14:06:17 CDT 2018,00:04:44,4,284,0,0,0,0,0
2034,RGM_TSV_22, Thu Aug 30 06:12:21 CDT 2018, Thu Aug 30 06:14:58 CDT 2018,00:02:37,2,157,0,0,0,0,0
2035,RGM_TSV_22, Wed Sep  5 21:02:53 CDT 2018, Wed Sep  5 21:20:10 CDT 2018,00:17:17,17,1037,0,0,0,0,0
2036,RGM_TSV_22, Thu Sep 13 07:23:28 CDT 2018, Thu Sep 13 08:19:03 CDT 2018,00:55:35,55,3335,0,0,0,0,0
2037,RGM_TSV_22, Wed Sep 19 16:37:55 CDT 2018, Wed Sep 19 16:40:45 CDT 2018,00:02:50,2,170,0,0,0,0,0
2038,RGM_TSV_22, Mon Sep 24 14:37:17 CDT 2018, Mon Sep 24 14:42:05 CDT 2018,00:04:48,4,288,0,0,0,0,0
2039,RGM_TSV_22, Wed Oct  3 00:30:43 CDT 2018, Wed Oct  3 00:53:29 CDT 2018,00:22:46,22,1366,0,0,0,0,0
2041,RGM_TSV_22, Wed Oct 17 13:05:15 CDT 2018, Wed Oct 17 13:13:01 CDT 2018,00:07:46,7,466,0,0,0,0,0
2042,RGM_TSV_22, Tue Oct 23 16:47:52 CDT 2018, Tue Oct 23 16:55:37 CDT 2018,00:07:45,7,465,0,0,0,0,0
2043,RGM_TSV_22, Wed Oct 31 12:44:19 CDT 2018, Wed Oct 31 12:52:59 CDT 2018,00:08:40,8,520,0,0,0,0,0
2044,RGM_TSV_22, Tue Nov  6 16:13:28 CST 2018, Tue Nov  6 17:00:18 CST 2018,00:46:50,46,2810,0,0,0,0,0
2045,RGM_TSV_22, Tue Nov 13 03:07:15 CST 2018, Tue Nov 13 03:14:11 CST 2018,00:06:56,6,416,0,0,0,0,0
2046,RGM_TSV_22,  Sat Nov 24 16:26:15 CST 2018,  Sat Nov 24 16:30:45 CST 2018,00:04:30,4,270,0,0,0,0,0
2047,RGM_TSV_22,  Thu Nov 29 09:13:18 CST 2018,  Thu Nov 29 09:22:14 CST 2018,00:08:56,8,536,0,0,0,0,0
2048,RGM_TSV_22,  Wed Dec  5 02:58:47 CST 2018,  Wed Dec  5 03:58:44 CST 2018,00:59:57,59,3597,0,0,0,0,0
2049,RGM_TSV_22,  Thu Dec 13 19:41:55 CST 2018,  Thu Dec 13 19:44:28 CST 2018,00:02:33,2,153,0,0,0,0,0
2050,RGM_TSV_22,  Mon Dec 17 14:40:26 CST 2018,  Mon Dec 17 14:43:03 CST 2018,00:02:37,2,157,0,0,0,0,0
2051,RGM_TSV_22,  Wed Dec 26 18:43:59 CST 2018,  Wed Dec 26 18:52:11 CST 2018,00:08:12,8,492,0,0,0,0,0
2052,RGM_TSV_22,  Wed Jan  2 18:35:22 CST 2019,  Wed Jan  2 18:55:00 CST 2019,00:19:38,19,1178,0,0,0,0,0
2053,RGM_TSV_22,  Wed Jan  9 18:17:09 CST 2019,  Wed Jan  9 18:20:19 CST 2019,00:03:10,3,190,0,0,0,0,0
2054,RGM_TSV_22,  Wed Jan 16 18:19:07 CST 2019,  Wed Jan 16 18:21:49 CST 2019,00:02:42,2,162,0,0,0,0,0
2043,RGM_TSV_22_M, Wed Oct 31 12:19:57 CDT 2018, Wed Oct 31 12:22:30 CDT 2018,00:02:33,2,153,0,0,0,0,0
2044,RGM_TSV_22_M, Tue Nov  6 03:02:20 CST 2018, Tue Nov  6 03:15:35 CST 2018,00:13:15,13,795,0,0,0,0,0
